,country,iso,region,score,rank,change,year,standard_deviation,range
435,Colombia,COL,AME,3.8,50,10,2001,3.0 - 4.5,
436,Costa Rica,CRI,AME,4.5,40,-10,2001,3.7 - 5.6,
437,Cote du00b4Ivoire,CIV,SSA,2.4,77,-6,2001,1.5 - 3.6,
438,Croatia,HRV,WE/EU,3.9,47,4,2001,3.4 - 4.6,
439,Czech Republic,CZE,WE/EU,3.9,47,-5,2001,2.6 - 5.6,
440,Denmark,DNK,WE/EU,9.5,2,0,2001,8.8 - 10.6,
441,Dominican Rep,DOM,AME,3.1,63,22,2001,2.0 - 3.9,
442,Ecuador,ECU,AME,2.3,79,-5,2001,1.8 - 2.6,
443,Egypt,EGY,MENA,3.6,54,9,2001,1.2 - 6.2,
444,El Salvador,SLV,AME,3.6,54,-11,2001,2.0 - 4.3,
445,Estonia,EST,WE/EU,5.6,28,-1,2001,5.0 - 6.0,
446,Finland,FIN,WE/EU,9.9,1,0,2001,9.2 - 10.6,
447,France,FRA,WE/EU,6.7,23,-2,2001,5.6 - 7.8,
448,Germany,DEU,WE/EU,7.4,20,-3,2001,5.8 - 8.6,
449,Ghana,GHA,SSA,3.4,59,-7,2001,2.9 - 3.8,
450,Greece,GRC,WE/EU,4.2,42,-7,2001,3.6 - 5.6,
451,Guatemala,GTM,AME,2.9,65,20,2001,2.0 - 4.2,
452,Honduras,HND,AME,2.7,71,14,2001,2.0 - 4.0,
453,Hong Kong,HKG,AP,7.9,14,1,2001,7.2 - 8.7,
454,Hungary,HUN,WE/EU,5.3,31,1,2001,4.0 - 6.2,
455,Iceland,ISL,WE/EU,9.2,4,2,2001,7.4 - 10.1,
456,India,IND,AP,2.7,71,-2,2001,2.1 - 3.8,
457,Indonesia,IDN,AP,1.9,88,-3,2001,0.2 - 3.1,
458,Ireland,IRL,WE/EU,7.5,18,1,2001,6.8 - 7.9,
459,Israel,ISR,MENA,7.6,16,6,2001,7.3 - 8.1,
460,Italy,ITA,WE/EU,5.5,29,10,2001,4.0 - 6.9,
461,Japan,JPN,AP,7.1,21,2,2001,5.6 - 8.4,
462,Jordan,JOR,MENA,4.9,37,2,2001,3.8 - 5.7,
463,Kazakhstan,KAZ,ECA,2.7,71,-6,2001,1.8 - 4.3,
464,Kenya,KEN,SSA,2,74,8,2001,0.9 - 2.6,
465,Latvia,LVA,WE/EU,3.4,59,-2,2001,2.0 - 4.3,
466,Lithuania,LTU,WE/EU,4.8,38,5,2001,3.8 - 7.5,
467,Luxembourg,LUX,WE/EU,8.7,9,2,2001,8.1 - 9.5,
468,Malawi,MWI,SSA,3.2,61,-18,2001,2.0 - 3.9,
469,Malaysia,MYS,AP,5,36,0,2001,3.8 - 5.9,
470,Mauritius,MUS,SSA,4.5,40,-3,2001,3.9 - 5.6,
471,Mexico,MEX,AME,3.7,51,8,2001,2.5 - 5.0,
472,Moldova,MDA,ECA,3.1,63,11,2001,2.1 - 3.8,
473,Namibia,NAM,SSA,5.4,30,0,2001,3.8 - 6.7,
474,Netherlands,NLD,WE/EU,8.8,8,1,2001,8.4 - 9.2,
475,New Zealand,NZL,AP,9.4,3,0,2001,8.6 - 10.2,
476,Nicaragua,NIC,AME,2.4,77,8,2001,1.9 - 3.4,
477,Nigeria,NGA,SSA,1,90,0,2001,-0.1 - 2.0,
478,Norway,NOR,WE/EU,8.6,10,-4,2001,7.4 - 9.6,
479,Pakistan,PAK,AP,2.3,79,6,2001,0.8 - 4.2,
480,Panama,PAN,AME,3.7,51,34,2001,3.1 - 4.0,
481,Peru,PER,AME,4.1,44,-3,2001,2.0 - 5.3,
482,Philippines,PHL,AP,2.9,65,4,2001,1.6 - 4.8,
483,Poland,POL,WE/EU,4.1,44,-1,2001,2.9 - 5.6,
484,Portugal,PRT,WE/EU,6.3,25,-2,2001,5.3 - 7.4,
485,Romania,ROU,WE/EU,2.8,69,-1,2001,2.0 - 3.4,
486,Russia,RUS,ECA,2.3,79,3,2001,0.3 - 4.2,
487,Senegal,SEN,SSA,2.9,65,-13,2001,2.2 - 3.8,
488,Singapore,SGP,AP,9.2,4,2,2001,8.5 - 9.9,
489,Slovak Republic,SVK,WE/EU,3.7,51,1,2001,2.1 - 4.9,
490,Slovenia,SVN,WE/EU,5.2,34,-6,2001,4.1 - 7.1,
491,South Africa,ZAF,SSA,4.8,38,-4,2001,3.8 - 5.6,
492,South Korea,KOR,AP,4.2,42,6,2001,3.4 - 5.6,
493,Spain,ESP,WE/EU,7,22,-2,2001,5.8 - 8.1,
494,Sweden,SWE,WE/EU,9,6,-3,2001,8.2 - 9.7,
495,Switzerland,CHE,WE/EU,8.4,12,-1,2001,7.4 - 9.2,
496,Taiwan,TWN,AP,5.9,27,1,2001,4.6 - 7.3,
497,Tanzania,TZA,SSA,2.2,82,-6,2001,1.6 - 2.9,
498,Thailand,THA,AP,3.2,61,-1,2001,0.6 - 4.0,
499,Trinidad & Tobago,TTO,AME,5.3,31,54,2001,3.8 - 6.9,
500,Tunisia,TUN,MENA,5.3,31,1,2001,3.8 - 6.5,
501,Turkey,TUR,ECA,3.6,54,-4,2001,2.0 - 4.5,
502,Uganda,UGA,SSA,1.9,88,-8,2001,1.3 - 2.4,
503,Ukraine,UKR,ECA,2.1,83,4,2001,1.0 - 4.3,
504,United Kingdom,GBR,WE/EU,8.3,13,-3,2001,7.4 - 8.8,
505,Uruguay,URY,AME,5.1,35,50,2001,4.4 - 5.8,
506,USA,USA,AME,7.6,16,-2,2001,6.1 - 9.0,
507,Uzbekistan,UZB,ECA,2.7,71,8,2001,2.0 - 4.0,
508,Venezuela,VEN,AME,2.8,69,2,2001,2.0 - 3.6,
509,Vietnam,VNM,AP,2.6,75,1,2001,1.5 - 3.8,
510,Zambia,ZMB,SSA,2.6,75,-18,2001,2.0 - 3.0,
511,Zimbabwe,ZWE,SSA,2.9,65,0,2001,1.6 - 4.7,
512,Albania,ALB,ECA,2.5,81,-24,2002,1.7 - 3.3,
513,Angola,AGO,SSA,1.7,98,-41,2002,1.6 - 2.0,
514,Argentina,ARG,AME,2.8,70,-13,2002,1.7 - 3.8,
515,Australia,AUS,AP,8.6,11,0,2002,6.1 - 9.3,
516,Austria,AUT,WE/EU,7.8,15,0,2002,7.2 - 8.7,
517,Azerbaijan,AZE,ECA,2,95,-11,2002,1.7 - 2.4,
518,Bangladesh,BGD,AP,1.2,102,-11,2002,0.3 - 2.0,
519,Belarus,BLR,ECA,4.8,36,21,2002,3.3 - 5.8,
520,Belgium,BEL,WE/EU,7.1,20,4,2002,5.5 - 8.7,
521,Bolivia,BOL,AME,2.2,89,-5,2002,1.7 - 2.9,
522,Botswana,BWA,SSA,6.4,24,2,2002,5.3 - 8.9,
523,Brazil,BRA,AME,4,45,1,2002,3.4 - 4.8,
524,Bulgaria,BGR,WE/EU,4,45,2,2002,3.3 - 5.7,
525,Cameroon,CMR,SSA,2.2,89,-5,2002,1.7 - 3.2,
526,Canada,CAN,AME,9,7,0,2002,8.7 - 9.3,
527,Chile,CHL,AME,7.5,17,1,2002,5.6 - 8.8,
528,China,CHN,AP,3.5,59,-2,2002,2.0 - 5.6,
529,Colombia,COL,AME,3.6,57,-7,2002,2.6 - 4.6,
530,Costa Rica,CRI,AME,4.5,40,0,2002,3.6 - 5.9,
531,Cote d'Ivoire,CIV,SSA,2.7,71,6,2002,2.0 - 3.4,
532,Croatia,HRV,WE/EU,3.8,51,-4,2002,3.6 - 4.0,
533,Czech Republic,CZE,WE/EU,3.7,52,-5,2002,2.6 - 5.5,
534,Denmark,DNK,WE/EU,9.5,2,0,2002,8.9 - 9.9,
535,Dominican Rep.,DOM,AME,3.5,59,4,2002,3.0 - 3.9,
536,Ecuador,ECU,AME,2.2,89,-10,2002,1.7 - 2.6,
537,Egypt,EGY,MENA,3.4,62,-8,2002,1.7 - 5.3,
538,El Salvador,SLV,AME,3.4,62,-8,2002,2.0 - 4.2,
539,Estonia,EST,WE/EU,5.6,29,-1,2002,5.2 - 6.6,
540,Ethiopia,ETH,SSA,3.5,59,-2,2002,3.0 - 4.0,
541,Finland,FIN,WE/EU,9.7,1,0,2002,8.9 - 10.0,
542,France,FRA,WE/EU,6.3,25,-2,2002,4.8 - 7.8,
543,Georgia,GEO,ECA,2.4,85,-28,2002,1.7 - 2.9,
544,Germany,DEU,WE/EU,7.3,18,2,2002,5.0 - 8.1,
545,Ghana,GHA,SSA,3.9,50,9,2002,2.7 - 5.9,
546,Greece,GRC,WE/EU,4.2,44,-2,2002,3.7 - 5.5,
547,Guatemala,GTM,AME,2.5,81,-16,2002,1.7 - 3.5,
548,Haiti,HTI,AME,2.2,89,-32,2002,0.8 - 4.0,
549,Honduras,HND,AME,2.7,71,0,2002,2.0 - 3.4,
550,Hong Kong,HKG,AP,8.2,14,0,2002,6.6 - 9.4,
551,Hungary,HUN,WE/EU,4.9,33,-2,2002,4.0 - 5.6,
552,Iceland,ISL,WE/EU,9.4,4,0,2002,8.8 - 10.0,
553,India,IND,AP,2.7,71,0,2002,2.4 - 3.6,
554,Indonesia,IDN,AP,1.9,96,-8,2002,0.8 - 3.0,
555,Ireland,IRL,WE/EU,6.9,23,-5,2002,5.5 - 8.1,
556,Israel,ISR,MENA,7.3,18,-2,2002,5.2 - 8.0,
557,Italy,ITA,WE/EU,5.2,31,-2,2002,3.4 - 7.2,
558,Jamaica,JAM,AME,4,45,12,2002,3.6 - 4.3,
559,Japan,JPN,AP,7.1,20,1,2002,5.5 - 7.9,
560,Jordan,JOR,MENA,4.5,40,-3,2002,3.6 - 5.2,
561,Kazakhstan,KAZ,ECA,2.3,88,-17,2002,1.7 - 3.9,
562,Kenya,KEN,SSA,1.9,96,-22,2002,1.7 - 2.5,
563,Latvia,LVA,WE/EU,3.7,52,7,2002,3.5 - 3.9,
564,Lithuania,LTU,WE/EU,4.8,36,2,2002,3.4 - 7.6,
565,Luxembourg,LUX,WE/EU,9,7,2,2002,8.5 - 9.9,
566,Madagascar,MDG,SSA,1.7,98,-41,2002,1.3 - 2.5,
567,Malawi,MWI,SSA,2.9,68,-7,2002,2.0 - 4.0,
568,Malaysia,MYS,AP,4.9,33,3,2002,3.6 - 5.7,
569,Mauritius,MUS,SSA,4.5,40,0,2002,3.5 - 5.5,
570,Mexico,MEX,AME,3.6,57,-6,2002,2.5 - 4.9,
571,Moldova,MDA,ECA,2.1,93,-30,2002,1.7 - 3.0,
572,Morocco,MAR,MENA,3.7,52,5,2002,1.7 - 5.5,
573,Namibia,NAM,SSA,5.7,28,2,2002,3.6 - 8.9,
574,Netherlands,NLD,WE/EU,9,7,1,2002,8.5 - 9.3,
575,New Zealand,NZL,AP,9.5,2,1,2002,8.9 - 9.6,
576,Nicaragua,NIC,AME,2.5,81,-4,2002,1.7 - 3.4,
577,Nigeria,NGA,SSA,1.6,101,-11,2002,0.9 - 2.5,
578,Norway,NOR,WE/EU,8.5,12,-2,2002,6.9 - 9.3,
579,Pakistan,PAK,AP,2.6,77,2,2002,1.7 - 4.0,
580,Panama,PAN,AME,3,67,-16,2002,1.7 - 3.6,
581,Paraguay,PRY,AME,1.7,98,-41,2002,1.5 - 2.0,
582,Peru,PER,AME,4,45,-1,2002,3.2 - 5.0,
583,Philippines,PHL,AP,2.6,77,-12,2002,1.7 - 3.6,
584,Poland,POL,WE/EU,4,45,-1,2002,2.6 - 5.5,
585,Portugal,PRT,WE/EU,6.3,25,0,2002,5.5 - 8.0,
586,Romania,ROU,WE/EU,2.6,77,-8,2002,1.7 - 3.6,
587,Russia,RUS,ECA,2.7,71,8,2002,1.5 - 5.0,
588,Senegal,SEN,SSA,3.1,66,-1,2002,1.7 - 5.5,
589,Singapore,SGP,AP,9.3,5,-1,2002,8.9 - 9.6,
590,Slovak Republic,SVK,WE/EU,3.7,52,-1,2002,3.0 - 4.6,
591,Slovenia,SVN,WE/EU,6,27,7,2002,4.7 - 8.9,
592,South Africa,ZAF,SSA,4.8,36,2,2002,3.9 - 5.5,
593,South Korea,KOR,AP,4.5,40,2,2002,2.1 - 7.1,
594,Spain,ESP,WE/EU,7.1,20,2,2002,5.2 - 8.9,
595,Sri Lanka,LKA,AP,3.7,52,5,2002,3.3 - 4.3,
596,Sweden,SWE,WE/EU,9.3,5,1,2002,8.9 - 9.6,
597,Switzerland,CHE,WE/EU,8.5,12,0,2002,6.8 - 9.4,
598,Taiwan,TWN,AP,5.6,29,-2,2002,3.9 - 6.6,
599,Tanzania,TZA,SSA,2.7,71,11,2002,2.0 - 3.4,
600,Thailand,THA,AP,3.2,64,-3,2002,1.5 - 4.1,
601,Trinidad & Tobago,TTO,AME,4.9,33,-2,2002,3.6 - 6.9,
602,Tunisia,TUN,MENA,4.8,36,-5,2002,3.6 - 5.6,
603,Turkey,TUR,ECA,3.2,64,-10,2002,1.9 - 4.6,
604,Uganda,UGA,SSA,2.1,93,-5,2002,1.9 - 2.6,
605,Ukraine,UKR,ECA,2.4,85,-2,2002,1.7 - 3.8,
606,United Kingdom,GBR,WE/EU,8.7,10,3,2002,7.8 - 9.4,
607,Uruguay,URY,AME,5.1,32,3,2002,4.2 - 6.1,
608,USA,USA,AME,7.7,16,0,2002,5.5 - 8.7,
609,Uzbekistan,UZB,ECA,2.9,68,3,2002,2.0 - 4.1,
610,Venezuela,VEN,AME,2.5,81,-12,2002,1.5 - 3.2,
611,Vietnam,VNM,AP,2.4,85,-10,2002,1.5 - 3.6,
612,Zambia,ZMB,SSA,2.6,77,-2,2002,2.0 - 3.2,
613,Zimbabwe,ZWE,SSA,2.7,71,-6,2002,2.0 - 3.3,
614,Albania,ALB,ECA,2.5,92,-11,2003,1.9 - 3.2,
615,Algeria,DZA,MENA,2.6,88,-7,2003,2.0 - 3.0,
616,Angola,AGO,SSA,1.8,124,-26,2003,1.4 - 2.0,
617,Argentina,ARG,AME,2.5,92,-22,2003,1.6 - 3.2,
618,Armenia,ARM,ECA,3,78,3,2003,2.2 - 4.1,
619,Australia,AUS,AP,8.8,8,3,2003,6.7 - 9.5,
620,Austria,AUT,WE/EU,8,14,1,2003,7.3 - 9.3,
621,Azerbaijan,AZE,ECA,1.8,124,-29,2003,1.4 - 2.3,
622,Bahrain,BHR,MENA,6.1,27,54,2003,5.5 - 7.4,
623,Bangladesh,BGD,AP,1.3,133,-31,2003,0.3 - 2.2,
624,Belarus,BLR,ECA,4.2,53,-17,2003,2.0 - 5.8,
625,Belgium,BEL,WE/EU,7.6,17,3,2003,6.6 - 9.2,
626,Belize,BEN,SSA,4.5,46,35,2003,3.6 - 5.5,
627,Bolivia,BOL,AME,2.3,106,-17,2003,1.9 - 2.9,
628,Bosnia & Herzegovina,BIH,ECA,3.3,70,11,2003,2.2 - 3.9,
629,Botswana,BWA,SSA,5.7,30,-6,2003,4.7 - 7.3,
630,Brazil,BRA,AME,3.9,54,-9,2003,3.3 - 4.7,
631,Bulgaria,BGR,WE/EU,3.9,54,-9,2003,2.8 - 5.7,
632,Cameroon,CMR,SSA,1.8,124,-35,2003,1.4 - 2.0,
633,Canada,CAN,AME,8.7,11,-4,2003,6.5 - 9.4,
634,Chile,CHL,AME,7.4,20,-3,2003,5.6 - 8.8,
635,China,CHN,AP,3.4,66,-7,2003,2.0 - 5.5,
636,Colombia,COL,AME,3.7,59,-2,2003,2.7 - 4.4,
637,"Congo, Republic of the",COG,SSA,2.2,113,-32,2003,2.0 - 2.8,
638,Costa Rica,CRI,AME,4.3,50,-10,2003,3.5 - 5.5,
639,Cote d'Ivoire,CRI,AME,2.1,118,-78,2003,1.5 - 2.7,
640,Croatia,CIV,SSA,3.7,59,12,2003,2.6 - 4.7,
641,Cuba,HRV,WE/EU,4.6,43,8,2003,3.6 - 5.5,
642,Cyprus,CUB,AME,6.1,27,54,2003,4.7 - 7.8,
643,Czech Republic,CYP,WE/EU,3.9,54,27,2003,2.6 - 5.6,
644,Denmark,CZE,WE/EU,9.5,3,49,2003,8.8 - 9.9,
645,Dominican Republic,DNK,WE/EU,3.3,70,-68,2003,2.7 - 3.8,
646,Ecuador,DOM,AME,2.2,113,-54,2003,1.8 - 2.6,
647,Egypt,EGY,MENA,3.3,70,-8,2003,1.8 - 5.3,
648,El Salvador,SLV,AME,3.7,59,3,2003,2.0 - 6.3,
649,Estonia,EST,WE/EU,5.5,33,-4,2003,4.7 - 6.6,
650,Ethiopia,ETH,SSA,2.5,92,-33,2003,1.5 - 3.6,
651,Finland,FIN,WE/EU,9.7,1,0,2003,9.2 - 10.0,
652,France,FRA,WE/EU,6.9,23,2,2003,4.8 - 9.0,
653,Gambia,GMB,SSA,2.5,92,-11,2003,1.5 - 3.6,
654,Georgia,GEO,ECA,1.8,124,-39,2003,0.9 - 2.8,
655,Germany,DEU,WE/EU,7.7,16,2,2003,4.9 - 9.2,
656,Ghana,GHA,SSA,3.3,70,-20,2003,2.7 - 5.0,
657,Greece,GRC,WE/EU,4.3,50,-6,2003,3.7 - 5.6,
658,Guatemala,GTM,AME,2.4,100,-19,2003,1.5 - 3.4,
659,Haiti,HTI,AME,1.5,131,-42,2003,0.7 - 2.3,
660,Honduras,HND,AME,2.3,106,-35,2003,1.4 - 3.3,
661,Hong Kong,HKG,AP,8,14,0,2003,5.6 - 9.3,
662,Hungary,HUN,WE/EU,4.8,40,-7,2003,4.0 - 5.6,
663,Iceland,ISL,WE/EU,9.6,2,2,2003,9.2 - 10.0,
664,India,IND,AP,2.8,83,-12,2003,2.1 - 3.6,
665,Indonesia,IDN,AP,1.9,122,-26,2003,0.7 - 2.9,
666,Iran,IRN,MENA,3,78,3,2003,1.5 - 3.6,
667,Iraq,IRQ,MENA,2.2,113,-32,2003,1.2 - 3.4,
668,Ireland,IRL,WE/EU,7.5,18,5,2003,6.5 - 8.8,
669,Israel,ISR,MENA,7,21,-3,2003,4.7 - 8.1,
670,Italy,ITA,WE/EU,5.3,35,-4,2003,3.3 - 7.3,
671,Jamaica,JAM,AME,3.8,57,-12,2003,3.3 - 4.3,
672,Japan,JPN,AP,7,21,-1,2003,5.5 - 8.8,
673,Jordan,JOR,MENA,4.6,43,-3,2003,3.6 - 6.5,
674,Kazakhstan,KAZ,ECA,2.4,100,-12,2003,1.6 - 3.8,
675,Kenya,KEN,SSA,1.9,122,-26,2003,1.5 - 2.4,
676,Kuwait,KWT,MENA,5.3,35,46,2003,3.3 - 7.4,
677,Kyrgyzstan,KGZ,ECA,2.1,118,-37,2003,1.6 - 2.7,
678,Latvia,LVA,WE/EU,3.8,57,-5,2003,3.4 - 4.7,
679,Lebanon,LBN,MENA,3,78,3,2003,2.1 - 3.6,
680,Libya,LBY,MENA,2.1,118,-37,2003,1.7 - 2.7,
681,Lithuania,LTU,WE/EU,4.7,41,-5,2003,3.0 - 7.7,
682,Luxembourg,LUX,WE/EU,8.7,11,-4,2003,8.0 - 9.2,
683,Macedonia,MKD,ECA,2.3,106,-25,2003,2.0 - 2.7,
684,Madagascar,MDG,SSA,2.6,88,10,2003,1.2 - 4.7,
685,Malawi,MWI,SSA,2.8,83,-15,2003,2.0 - 4.4,
686,Malaysia,MYS,AP,5.2,37,-4,2003,3.6 - 8.0,
687,Mali,MLI,SSA,3,78,3,2003,1.4 - 5.0,
688,Mauritius,MUS,SSA,4.4,48,-8,2003,3.6 - 5.5,
689,Mexico,MEX,AME,3.6,64,-7,2003,2.4 - 4.9,
690,Moldova,MDA,ECA,2.4,100,-7,2003,1.6 - 3.6,
691,Morocco,MAR,MENA,3.3,70,-18,2003,2.4 - 5.5,
692,Mozambique,MOZ,SSA,2.7,86,-5,2003,2.0 - 3.6,
693,Myanmar,MMR,AP,1.6,129,-48,2003,1.4 - 2.0,
694,Namibia,NAM,SSA,4.7,41,-13,2003,3.6 - 6.6,
695,Netherlands,NLD,WE/EU,8.9,7,0,2003,8.5 - 9.3,
696,New Zealand,NZL,AP,9.5,3,-1,2003,9.2 - 9.6,
697,Nicaragua,NIC,AME,2.6,88,-7,2003,2.0 - 3.3,
698,Nigeria,NGA,SSA,1.4,132,-31,2003,0.9 - 2.0,
699,Norway,NOR,WE/EU,8.8,8,4,2003,8.0 - 9.3,
700,Oman,OMN,MENA,6.3,26,55,2003,5.5 - 7.3,
701,Pakistan,PAK,AP,2.5,92,-15,2003,1.5 - 3.9,
702,Palestine,PSE,MENA,3,78,3,2003,2.0 - 4.3,
703,Panama,PAN,AME,3.4,66,1,2003,2.7 - 5.0,
704,Papua New Guinea,PNG,AP,2.1,118,-37,2003,1.5 - 2.7,
705,Paraguay,PRY,AME,1.6,129,-31,2003,1.2 - 2.0,
706,Peru,PER,AME,3.7,59,-14,2003,2.7 - 4.9,
707,Philippines,PHL,AP,2.5,92,-15,2003,1.6 - 3.6,
708,Poland,POL,WE/EU,3.6,64,-19,2003,2.4 - 5.6,
709,Portugal,PRT,WE/EU,6.6,25,0,2003,4.9 - 8.1,
710,Qatar,QAT,MENA,5.6,32,49,2003,5.5 - 5.7,
711,Romania,ROU,WE/EU,2.8,83,-6,2003,1.6 - 5.0,
712,Russia,RUS,ECA,2.7,86,-15,2003,1.4 - 4.9,
713,Saudi Arabia,SAU,MENA,4.5,46,35,2003,2.8 - 7.4,
714,Senegal,SEN,SSA,3.2,76,-10,2003,2.2 - 5.5,
715,Serbia & Montenegro,SRB,ECA,2.3,106,-25,2003,2.0 - 3.2,
716,Sierra Leone,SLE,SSA,2.2,113,-32,2003,2.0 - 2.8,
717,Singapore,SGP,AP,9.4,5,0,2003,9.2 - 9.5,
718,Slovakia,SVK,WE/EU,3.7,59,-7,2003,2.9 - 4.7,
719,Slovenia,SVN,WE/EU,5.9,29,-2,2003,4.7 - 8.8,
720,South Africa,ZAF,SSA,4.4,48,-12,2003,3.6 - 5.5,
721,South Korea,KOR,AP,4.3,50,-10,2003,2.0 - 5.6,
722,Spain,ESP,WE/EU,6.9,23,-3,2003,5.2 - 7.8,
723,Sri Lanka,LKA,AP,3.4,66,-14,2003,2.4 - 4.4,
724,Sudan,SDN,SSA,2.3,106,-25,2003,2.0 - 2.7,
725,Sweden,SWE,WE/EU,9.3,6,-1,2003,8.8 - 9.6,
726,Switzerland,CHE,WE/EU,8.8,8,4,2003,6.9 - 9.4,
727,Syria,SYR,MENA,3.4,66,15,2003,2.0 - 5.0,
728,Taiwan,TWN,AP,5.7,30,-1,2003,3.6 - 7.8,
729,Tajikistan,TJK,ECA,1.8,124,-43,2003,1.5 - 2.0,
730,Tanzania,TZA,SSA,2.5,92,-21,2003,2.0 - 3.3,
731,Thailand,THA,AP,3.3,70,-6,2003,1.4 - 4.4,
732,Trinidad and Tobago,TTO,AME,4.6,43,-10,2003,3.4 - 6.9,
733,Tunisia,TUN,MENA,4.9,39,-3,2003,3.6 - 5.6,
734,Turkey,TUR,ECA,3.1,77,-13,2003,1.8 - 5.4,
735,Uganda,UGA,SSA,2.2,113,-20,2003,1.8 - 3.5,
736,Ukraine,UKR,ECA,2.3,106,-21,2003,1.6 - 3.8,
737,United Arab Emirates,ARE,MENA,5.2,37,44,2003,4.6 - 5.6,
738,United Kingdom,GBR,WE/EU,8.7,11,-1,2003,7.8 - 9.2,
739,Uruguay,URY,AME,5.5,33,-1,2003,4.1 - 7.4,
740,USA,USA,AME,7.5,18,-2,2003,4.9 - 9.2,
741,Uzbekistan,UZB,ECA,2.4,100,-32,2003,2.0 - 3.3,
742,Venezuela,VEN,AME,2.4,100,-19,2003,1.4 - 3.1,
743,Vietnam,VNM,AP,2.4,100,-15,2003,1.4 - 3.6,
744,Yemen,YEM,MENA,2.6,88,-7,2003,2.0 - 3.4,
745,Zambia,ZMB,SSA,2.5,92,-15,2003,2.0 - 3.3,
746,Zimbabwe,ZWE,SSA,2.3,106,-35,2003,2.0 - 2.7,
747,Albania,ALB,ECA,2.5,108,-16,2004,2.0 - 3.0,
748,Algeria,DZA,MENA,2.7,97,-9,2004,2.3 - 3.0,
749,Angola,AGO,SSA,2,133,-9,2004,1.7 - 2.1,
750,Argentina,ARG,AME,2.5,108,-16,2004,2.2 - 2.8,
751,Armenia,ARM,ECA,3.1,82,-4,2004,2.4 - 3.7,
752,Australia,AUS,AP,8.8,9,-1,2004,8.4 - 9.1,
753,Austria,AUT,WE/EU,8.4,13,1,2004,8.1 - 8.8,
754,Azerbaijan,AZE,ECA,1.9,140,-16,2004,1.8 - 2.0,
755,Bahrain,BHR,MENA,5.8,34,-7,2004,5.5 - 6.2,
756,Bangladesh,BGD,AP,1.5,145,-12,2004,1.1 - 1.9,
757,Barbados,BRB,AME,7.3,21,71,2004,6.6 - 7.6,
758,Belarus,BLR,ECA,3.3,74,-21,2004,1.9 - 4.8,
759,Belgium,BEL,WE/EU,7.5,17,0,2004,7.1 - 8.0,
760,Belize,BEN,SSA,3.8,60,-14,2004,3.4 - 4.1,
761,Benin,BOL,AME,3.2,77,29,2004,2.0 - 4.3,
762,Bolivia,BOL,AME,2.2,122,-16,2004,2.1 - 2.3,
763,Bosnia and Herzegovina,BIH,ECA,3.1,82,-12,2004,2.7 - 3.5,
764,Botswana,BWA,SSA,6,31,-1,2004,5.3 - 6.8,
765,Brazil,BRA,AME,3.9,59,-5,2004,3.7 - 4.1,
766,Bulgaria,BGR,WE/EU,4.1,54,0,2004,3.7 - 4.6,
767,Cameroon,CMR,SSA,2.1,129,-5,2004,1.9 - 2.3,
768,Canada,CAN,AME,8.5,12,-1,2004,8.1 - 8.9,
769,Chad,TCD,SSA,1.7,142,-50,2004,1.1 - 2.3,
770,Chile,CHL,AME,7.4,20,0,2004,7.0 - 7.8,
771,China,CHN,AP,3.4,71,-5,2004,3.0 - 3.8,
772,Colombia,COL,AME,3.8,60,-1,2004,3.4 - 4.1,
773,Congo. Democratic Republic,COD,SSA,2,133,-41,2004,1.5 - 2.2,
774,Congo. Republic of,COG,SSA,2.3,114,-1,2004,2.0 - 2.7,
775,Costa Rica,CRI,AME,4.9,41,9,2004,4.2 - 5.8,
776,Cote du00b4Ivoire,CIV,SSA,2,133,-74,2004,1.7 - 2.2,
777,Croatia,HRV,WE/EU,3.5,67,-24,2004,3.3 - 3.8,
778,Cuba,CUB,AME,3.7,62,-35,2004,2.2 - 4.7,
779,Cyprus,CYP,WE/EU,5.4,36,18,2004,5.0 - 5.8,
780,Czech Republic,CZE,WE/EU,4.2,51,-48,2004,3.7 - 4.9,
781,Denmark,DNK,WE/EU,9.5,3,67,2004,9.3 - 9.7,
782,Dominican Republic,DOM,AME,2.9,87,26,2004,2.4 - 3.3,
783,Ecuador,ECU,AME,2.4,112,-20,2004,2.3 - 2.5,
784,Egypt,EGY,MENA,3.2,77,-7,2004,2.7 - 3.8,
785,El Salvador,SLV,AME,4.2,51,8,2004,3.3 - 5.1,
786,Eritrea,ERI,SSA,2.6,102,-10,2004,1.6 - 3.4,
787,Estonia,EST,WE/EU,6,31,2,2004,5.6 - 6.7,
788,Ethiopia,ETH,SSA,2.3,114,-22,2004,1.9 - 2.9,
789,Finland,FIN,WE/EU,9.7,1,0,2004,9.5 - 9.8,
790,France,FRA,WE/EU,7.1,22,1,2004,6.6 - 7.6,
791,Gabon,GAB,SSA,3.3,74,18,2004,2.1 - 3.7,
792,Gambia,GMB,SSA,2.8,90,2,2004,2.2 - 3.4,
793,Georgia,GEO,ECA,2,133,-9,2004,1.6 - 2.3,
794,Germany,DEU,WE/EU,8.2,15,1,2004,8.0 - 8.5,
795,Ghana,GHA,SSA,3.6,64,6,2004,3.1 - 4.1,
796,Greece,GRC,WE/EU,4.3,49,1,2004,4.0 - 4.8,
797,Guatemala,GTM,AME,2.2,122,-22,2004,2.0 - 2.4,
798,Haiti,HTI,AME,1.5,145,-14,2004,1.2 - 1.9,
799,Honduras,HND,AME,2.3,114,-8,2004,2.0 - 2.6,
800,Hong Kong,HKG,AP,8,16,-2,2004,7.1 - 8.5,
